Time,PositionX,PositionY,PositionZ,Speed,SteeringAngle
2.06,476.476,42.09612,224.6658,0.9705738,0.02675695
2.08,476.4778,42.09615,224.6854,0.9868332,0.02825002
2.1,476.4797,42.09618,224.7052,0.9988772,0.02472866
2.12,476.4816,42.09618,224.7249,0.996162,0.02031741
2.128314,476.4835,42.0962,224.7452,1.021425,0.1985867
2.14,476.4835,42.0962,224.7452,1.021425,0.02168933
2.16,476.4853,42.09621,224.7655,1.027654,0.02029933
2.18,476.4871,42.09621,224.7862,1.040182,0.02053735
2.184731,476.4889,42.09623,224.8069,1.049284,0.1847197
2.2,476.4889,42.09623,224.8069,1.049284,0.02220875
2.22,476.4908,42.09624,224.8279,1.060388,0.02294114
2.24,476.4926,42.09624,224.849,1.064619,0.01929108
2.26,476.4944,42.09624,224.8701,1.071412,0.02170598
2.28,476.4963,42.09626,224.8915,1.084944,0.01943611
2.294901,476.4982,42.09628,224.9134,1.101436,0.1647417
2.3,476.4982,42.09628,224.9134,1.101436,0.01699604
2.32,476.5001,42.0963,224.9352,1.102606,0.02080245
2.34,476.502,42.09633,224.9574,1.121726,0.01751344
2.354442,476.5039,42.09637,224.9799,1.13621,0.1535859
2.36,476.5039,42.09637,224.9799,1.13621,0.01677663
2.38,476.5058,42.09642,225.0028,1.154328,0.01287781
2.4,476.5078,42.09647,225.0259,1.161408,0.01244568
2.42,476.5097,42.09651,225.049,1.166561,0.01328357
2.44,476.5117,42.09655,225.0723,1.177379,0.01794079
2.46,476.5136,42.0966,225.0957,1.183951,0.02377051
2.470929,476.5156,42.09664,225.1193,1.194445,0.1340935
2.48,476.5156,42.09664,225.1193,1.194445,0.02258871
2.5,476.5175,42.09668,225.1432,1.210022,0.01591964
2.517554,476.5195,42.09674,225.1676,1.229743,0.1293053
2.52,476.5195,42.09674,225.1676,1.229743,0.01105285
2.54,476.5215,42.09678,225.1919,1.225917,0.01721863
2.56,476.5235,42.09682,225.2163,1.237194,0.01737298
2.58,476.5255,42.09687,225.241,1.249855,0.01907002
2.6,476.5276,42.09692,225.2661,1.265135,0.01570048
2.62,476.5297,42.09697,225.2914,1.274537,0.01695408
2.627205,476.5317,42.09702,225.3166,1.277542,0.1108888
2.64,476.5317,42.09702,225.3166,1.277542,0.02183696
2.66,476.5338,42.09706,225.3421,1.287025,0.02155568
2.68,476.5359,42.09711,225.3679,1.30506,0.01803167
2.684973,476.538,42.09715,225.3939,1.314358,0.1004514
2.7,476.538,42.09715,225.3939,1.314358,0.01932864
2.72,476.54,42.09717,225.4201,1.324476,0.01973847
2.74,476.5421,42.09718,225.4466,1.336849,0.01933724
2.76,476.5443,42.09718,225.4732,1.346443,0.01987804
2.78,476.5464,42.09717,225.5001,1.358678,0.02009757
2.796251,476.5486,42.09713,225.5272,1.370445,0.0830263
2.8,476.5486,42.09713,225.5272,1.370445,0.02013664
2.82,476.5507,42.09706,225.5546,1.382899,0.01925327
2.84,476.5528,42.09698,225.5822,1.394999,0.01870213
2.851745,476.555,42.09687,225.6101,1.407729,0.07337324
2.86,476.555,42.09687,225.6101,1.407729,0.01831243
2.88,476.5571,42.09675,225.6382,1.42002,0.01741784
2.9,476.5593,42.0966,225.6666,1.432542,0.01699077
2.92,476.5615,42.09644,225.6953,1.444947,0.01671862
2.94,476.5637,42.09626,225.7241,1.457491,0.01660528
2.958777,476.5659,42.09608,225.7533,1.469794,0.05952531
2.96,476.5659,42.09608,225.7533,1.469794,0.01665083
2.98,476.5681,42.09588,225.7826,1.482288,0.0160424
3,476.5703,42.09568,225.8123,1.494729,0.01584045
3.017463,476.5725,42.09547,225.8421,1.507233,0.05237027
3.02,476.5725,42.09547,225.8421,1.507233,0.01576792
3.04,476.5747,42.09526,225.8723,1.519377,0.01566961
3.06,476.577,42.09505,225.9026,1.531659,0.01560371
3.08,476.5793,42.09484,225.9332,1.543594,0.01572287
3.1,476.5815,42.09462,225.964,1.55536,0.01595154
3.12,476.5838,42.09441,225.9951,1.567866,0.01617045
3.126264,476.5862,42.0942,226.0264,1.579883,0.0399092
3.14,476.5862,42.0942,226.0264,1.579883,0.01641124
3.16,476.5885,42.094,226.058,1.593275,0.01574204
3.18,476.5908,42.0938,226.0898,1.605403,0.01570835
3.184147,476.5931,42.09361,226.1218,1.618184,0.03461913
3.2,476.5931,42.09361,226.1218,1.618184,0.01547253
3.22,476.5955,42.09342,226.1542,1.630399,0.0154879
3.24,476.5979,42.09324,226.1867,1.642957,0.01544392
3.26,476.6003,42.09308,226.2195,1.65522,0.01537639
3.28,476.6027,42.09292,226.2526,1.667633,0.01544541
3.291875,476.6051,42.09277,226.2859,1.680089,0.02697916
3.3,476.6051,42.09277,226.2859,1.680089,0.01552065
3.32,476.6075,42.09263,226.3194,1.692853,0.01531042
3.34,476.61,42.09249,226.3533,1.707473,0.01484548
3.351709,476.6125,42.09233,226.3875,1.724279,0.02226467
3.36,476.6125,42.09233,226.3875,1.724279,0.01493377
3.38,476.615,42.09214,226.4219,1.736573,0.01509742
3.4,476.6175,42.09193,226.4565,1.748273,0.01820253
3.42,476.6201,42.09171,226.4914,1.760661,0.01869087
3.44,476.6226,42.0914,226.5267,1.780051,0.01784506
3.458843,476.6251,42.09104,226.562,1.787275,0.01587726
3.46,476.6251,42.09104,226.562,1.787275,0.02140669
3.48,476.6277,42.09063,226.5978,1.808557,0.01899889
3.5,476.6302,42.09018,226.6337,1.815221,0.02257519
3.517814,476.6328,42.08966,226.6702,1.841007,0.01298754
3.52,476.6328,42.08966,226.6702,1.841007,0.01655664
3.54,476.6353,42.0891,226.7069,1.855272,0.01660887
3.56,476.6379,42.08849,226.744,1.869676,0.01699705
3.58,476.6405,42.08785,226.7814,1.885229,0.017236
3.6,476.6431,42.08718,226.819,1.900028,0.01730651
3.62,476.6458,42.0865,226.8569,1.915134,0.01768642
3.626624,476.6484,42.08579,226.8952,1.928786,0.01331981
3.64,476.6484,42.08579,226.8952,1.928786,0.01830209
3.66,476.6511,42.08507,226.9337,1.947082,0.01720869
3.68,476.6538,42.08435,226.9727,1.964684,0.01740719
3.684351,476.6566,42.08361,227.0117,1.971836,0.01196248
3.7,476.6566,42.08361,227.0117,1.971836,0.02032445
3.72,476.6593,42.08288,227.0515,2.001794,0.01446322
3.74,476.662,42.08214,227.091,1.997962,0.02288974
3.76,476.6649,42.08141,227.1313,2.031308,0.01529934
3.78,476.6677,42.08066,227.1713,2.025743,0.02432568
3.792442,476.6705,42.07992,227.2122,2.060164,0.008612287
3.8,476.6705,42.07992,227.2122,2.060164,0.01644026
3.82,476.6734,42.07917,227.2528,2.054348,0.02546768
3.84,476.6762,42.07843,227.2942,2.088286,0.01747349
3.852072,476.6791,42.07768,227.3354,2.083755,0.006983417
3.86,476.6791,42.07768,227.3354,2.083755,0.02565178
3.88,476.682,42.07694,227.3773,2.117298,0.01770465
3.9,476.6849,42.07617,227.4191,2.113939,0.02614816
3.92,476.6879,42.0754,227.4617,2.14661,0.01891358
3.94,476.6908,42.07461,227.504,2.144524,0.0264353
3.959103,476.6938,42.07378,227.5472,2.176593,0.004812324
3.96,476.6938,42.07378,227.5472,2.176593,0.01910225
3.98,476.6969,42.07291,227.5902,2.17663,0.02565949
4,476.6999,42.07202,227.634,2.20722,0.01919767
4.017293,476.7029,42.07106,227.6777,2.209027,0.003503952
4.02,476.7029,42.07106,227.6777,2.209027,0.02359315
4.04,476.706,42.07006,227.7221,2.238877,0.01661827
4.06,476.709,42.06902,227.7665,2.241385,0.02194085
4.08,476.7121,42.06794,227.8116,2.270745,0.01553336
4.1,476.7151,42.06683,227.8566,2.273758,0.02098861
4.12,476.7183,42.0657,227.9023,2.302588,0.01508371
4.125211,476.7214,42.06454,227.948,2.306187,0.002445598
4.14,476.7214,42.06454,227.948,2.306187,0.02056574
4.16,476.7246,42.06338,227.9943,2.334432,0.01509239
4.18,476.7278,42.06219,228.0407,2.33864,0.02049812
4.184096,476.731,42.061,228.0876,2.366302,0.002205479
4.2,476.731,42.061,228.0876,2.366302,0.01540701
4.22,476.7342,42.05979,228.1346,2.371145,0.02063334
4.24,476.7374,42.05858,228.1823,2.398153,0.0159375
4.26,476.7407,42.05736,228.2299,2.403704,0.02091436
4.28,476.744,42.05615,228.2781,2.42994,0.01632141
4.290763,476.7473,42.05493,228.3264,2.436162,0.002041398
4.3,476.7473,42.05493,228.3264,2.436162,0.0208863
4.32,476.7506,42.05372,228.3752,2.461618,0.01677101
4.34,476.7541,42.05244,228.4241,2.469393,0.02374107
4.351377,476.7575,42.05111,228.4736,2.494605,0.001470024
4.36,476.7575,42.05111,228.4736,2.494605,0.02156418
4.38,476.761,42.04975,228.5231,2.503473,0.02647832
4.4,476.7644,42.04824,228.5732,2.528121,0.02540159
4.42,476.7679,42.04665,228.6234,2.540663,0.02903138
4.44,476.7714,42.04497,228.6741,2.562491,0.02735367
4.458758,476.7748,42.04322,228.7251,2.578526,0.0002035501
4.46,476.7748,42.04322,228.7251,2.578526,0.02842892
4.48,476.7784,42.0414,228.7765,2.597458,0.0281298
4.5,476.7819,42.03953,228.8282,2.615318,0.02832895
4.517438,476.7855,42.03762,228.8803,2.633538,-8.13483E-05
4.52,476.7855,42.03762,228.8803,2.633538,0.02834166
4.54,476.789,42.03567,228.9328,2.651648,0.02842263
4.56,476.7926,42.03369,228.9856,2.669788,0.02850138
4.58,476.7962,42.03168,229.0387,2.687919,0.02858514
4.6,476.7999,42.02966,229.0923,2.706052,0.028678
4.62,476.8035,42.02763,229.1462,2.724183,0.0288037
4.625062,476.8072,42.02559,229.2004,2.742311,-5.026147E-05
